学校種別,設置区分,区市町村,学校名,学校名（ふりがな）,郵便番号,所在地,電話番号,デフォルト宛名,用途タグ
小学校,公立,品川区,品川区立鈴ヶ森小学校,しながわくりつすずがもりしょうがっこう,140-0013,東京都品川区南大井4-16-2,03-3763-6631,品川区立鈴ヶ森小学校 御中,宛名印刷
小学校,公立,品川区,品川区立台場小学校,しながわくりつだいばしょうがっこう,140-0002,東京都品川区東品川1-8-30,03-3471-3397,品川区立台場小学校 御中,宛名印刷
小学校,公立,品川区,品川区立京陽小学校,しながわくりつけいようしょうがっこう,142-0051,東京都品川区平塚2-19-20,03-3781-4775,品川区立京陽小学校 御中,宛名印刷
小学校,公立,品川区,品川区立延山小学校,しながわくりつえんざんしょうがっこう,142-0054,東京都品川区西中延2-17-5,03-3781-3806,品川区立延山小学校 御中,宛名印刷
小学校,公立,品川区,品川区立中延小学校,しながわくりつなかのぶしょうがっこう,142-0053,東京都品川区中延1-11-15,03-3781-4016,品川区立中延小学校 御中,宛名印刷
小学校,公立,品川区,品川区立小山小学校,しながわくりつこやましょうがっこう,142-0062,東京都品川区小山5-10-6,03-3781-0044,品川区立小山小学校 御中,宛名印刷
小学校,公立,品川区,品川区立大原小学校,しながわくりつおおはらしょうがっこう,142-0041,東京都品川区戸越6-17-3,03-3781-4487,品川区立大原小学校 御中,宛名印刷
小学校,公立,品川区,品川区立宮前小学校,しながわくりつみやまえしょうがっこう,142-0041,東京都品川区戸越4-5-10,03-3781-4386,品川区立宮前小学校 御中,宛名印刷
小学校,公立,品川区,品川区立源氏前小学校,しながわくりつげんじまえしょうがっこう,142-0053,東京都品川区中延6-2-18,03-3781-4348,品川区立源氏前小学校 御中,宛名印刷
小学校,公立,品川区,品川区立第二延山小学校,しながわくりつだいにえんざんしょうがっこう,142-0064,東京都品川区旗の台1-6-1,03-3781-1348,品川区立第二延山小学校 御中,宛名印刷
小学校,公立,品川区,品川区立後地小学校,しながわくりつうしろじしょうがっこう,142-0062,東京都品川区小山2-4-6,03-3781-0890,品川区立後地小学校 御中,宛名印刷
小学校,公立,品川区,品川区立戸越小学校,しながわくりつとごししょうがっこう,142-0042,東京都品川区豊町2-1-20,03-3781-2856,品川区立戸越小学校 御中,宛名印刷
小学校,公立,品川区,品川区立旗台小学校,しながわくりつはたのだいしょうがっこう,142-0064,東京都品川区旗の台4-7-11,03-3785-1687,品川区立旗台小学校 御中,宛名印刷
小学校,公立,品川区,品川区立上神明小学校,しながわくりつかみしんめいしょうがっこう,142-0043,東京都品川区二葉4-4-10,03-3781-4792,品川区立上神明小学校 御中,宛名印刷
小学校,公立,品川区,品川区立清水台小学校,しながわくりつしみずだいしょうがっこう,142-0064,東京都品川区旗の台1-11-17,03-3781-4841,品川区立清水台小学校 御中,宛名印刷
小学校,公立,品川区,品川区立小山台小学校,しながわくりつこやまだいしょうがっこう,142-0061,東京都品川区小山台1-18-24,03-3712-7587,品川区立小山台小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立八雲小学校,めぐろくりつやくもしょうがっこう,152-0023,東京都目黒区八雲2-5-1,03-3718-6306,目黒区立八雲小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立菅刈小学校,めぐろくりつすげかりしょうがっこう,153-0042,東京都目黒区青葉台3-3-26,03-3461-2569,目黒区立菅刈小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立下目黒小学校,めぐろくりつしもめぐろしょうがっこう,153-0063,東京都目黒区目黒2-7-9,03-3491-0332,目黒区立下目黒小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立碑小学校,めぐろくりついしぶみしょうがっこう,152-0003,東京都目黒区碑文谷1-18-2,03-3714-1594,目黒区立碑小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立中目黒小学校,めぐろくりつなかめぐろしょうがっこう,153-0061,東京都目黒区中目黒3-13-32,03-3711-7628,目黒区立中目黒小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立油面小学校,めぐろくりつあぶらめんしょうがっこう,153-0065,東京都目黒区中町1-5-4,03-3719-1694,目黒区立油面小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立大岡山小学校,めぐろくりつおおおかやましょうがっこう,152-0032,東京都目黒区平町2-3-1,03-3718-5306,目黒区立大岡山小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立烏森小学校,めぐろくりつからすもりしょうがっこう,153-0051,東京都目黒区上目黒3-37-27,03-3719-1794,目黒区立烏森小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立向原小学校,めぐろくりつむかいはらしょうがっこう,152-0002,東京都目黒区目黒本町6-7-15,03-3714-1795,目黒区立向原小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立五本木小学校,めぐろくりつごほんぎしょうがっこう,153-0053,東京都目黒区五本木2-24-3,03-3711-8494,目黒区立五本木小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立鷹番小学校,めぐろくりつたかばんしょうがっこう,152-0001,東京都目黒区中央町1-20-26,03-3714-2594,目黒区立鷹番小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立田道小学校,めぐろくりつでんどうしょうがっこう,153-0063,東京都目黒区目黒1-15-28,03-3711-8594,目黒区立田道小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立月光原小学校,めぐろくりつげっこうはらしょうがっこう,152-0002,東京都目黒区目黒本町4-15-3,03-3714-2694,目黒区立月光原小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立駒場小学校,めぐろくりつこまばしょうがっこう,153-0041,東京都目黒区駒場3-11-13,03-3467-4461,目黒区立駒場小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立緑ヶ丘小学校,めぐろくりつみどりがおかしょうがっこう,152-0034,東京都目黒区緑が丘2-13-1,03-3718-5406,目黒区立緑ヶ丘小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立原町小学校,めぐろくりつはらまちしょうがっこう,152-0011,東京都目黒区原町2-18-12,03-3714-2794,目黒区立原町小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立不動小学校,めぐろくりつふどうしょうがっこう,153-0064,東京都目黒区下目黒6-11-35,03-3714-3594,目黒区立不動小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立上目黒小学校,めぐろくりつかみめぐろしょうがっこう,153-0053,東京都目黒区五本木1-12-13,03-3719-2594,目黒区立上目黒小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立東根小学校,めぐろくりつひがしねしょうがっこう,152-0021,東京都目黒区東が丘1-20-1,03-3424-4511,目黒区立東根小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立中根小学校,めぐろくりつなかねしょうがっこう,152-0034,東京都目黒区緑が丘1-1-1,03-3718-4506,目黒区立中根小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立宮前小学校,めぐろくりつみやまえしょうがっこう,152-0023,東京都目黒区八雲3-13-21,03-3718-5506,目黒区立宮前小学校 御中,宛名印刷
小学校,公立,目黒区,目黒区立東山小学校,めぐろくりつひがしやましょうがっこう,153-0043,東京都目黒区東山2-24-25,03-3719-2694,目黒区立東山小学校 御中,宛名印刷
小学校,公立,大田区,大田区立大森第四小学校,おおたくりつおおもりだいししょうがっこう,143-0013,東京都大田区大森南3-18-26,03-3741-4265,大田区立大森第四小学校 御中,宛名印刷
小学校,公立,大田区,大田区立中富小学校,おおたくりつなかとみしょうがっこう,143-0012,東京都大田区大森東5-6-24,03-3762-6756,大田区立中富小学校 御中,宛名印刷
小学校,公立,大田区,大田区立大森第一小学校,おおたくりつおおもりだいいちしょうがっこう,143-0012,東京都大田区大森東3-1-18,03-3762-6528,大田区立大森第一小学校 御中,宛名印刷
小学校,公立,大田区,大田区立大森第三小学校,おおたくりつおおもりだいさんしょうがっこう,143-0015,東京都大田区大森西5-22-18,03-3762-6628,大田区立大森第三小学校 御中,宛名印刷
小学校,公立,大田区,大田区立大森第五小学校,おおたくりつおおもりだいごしょうがっこう,143-0011,東京都大田区大森本町1-10-5,03-3762-6638,大田区立大森第五小学校 御中,宛名印刷
小学校,公立,大田区,大田区立入新井第五小学校,おおたくりついりあらいだいごしょうがっこう,143-0016,東京都大田区大森北6-4-8,03-3762-6438,大田区立入新井第五小学校 御中,宛名印刷
小学校,公立,大田区,大田区立入新井第一小学校,おおたくりついりあらいだいいちしょうがっこう,143-0016,東京都大田区大森北4-6-7,03-3762-6428,大田区立入新井第一小学校 御中,宛名印刷
小学校,公立,大田区,大田区立山王小学校,おおたくりつさんのうしょうがっこう,143-0023,東京都大田区山王1-26-33,03-3773-3961,大田区立山王小学校 御中,宛名印刷
小学校,公立,大田区,大田区立馬込小学校,おおたくりつまごめしょうがっこう,143-0025,東京都大田区南馬込1-34-1,03-3773-3965,大田区立馬込小学校 御中,宛名印刷
小学校,公立,大田区,大田区立馬込第二小学校,おおたくりつまごめだいにしょうがっこう,143-0025,東京都大田区南馬込3-10-1,03-3773-3968,大田区立馬込第二小学校 御中,宛名印刷
小学校,公立,大田区,大田区立馬込第三小学校,おおたくりつまごめだいさんしょうがっこう,143-0021,東京都大田区北馬込1-28-1,03-3773-3971,大田区立馬込第三小学校 御中,宛名印刷
小学校,公立,大田区,大田区立梅田小学校,おおたくりつうめだしょうがっこう,143-0025,東京都大田区南馬込6-6-1,03-3773-3975,大田区立梅田小学校 御中,宛名印刷
小学校,公立,大田区,大田区立池上小学校,おおたくりついけがみしょうがっこう,146-0082,東京都大田区池上1-33-8,03-3753-9381,大田区立池上小学校 御中,宛名印刷
小学校,公立,大田区,大田区立池上第二小学校,おおたくりついけがみだいにしょうがっこう,143-0024,東京都大田区中央8-9-1,03-3753-9361,大田区立池上第二小学校 御中,宛名印刷
小学校,公立,大田区,大田区立徳持小学校,おおたくりつとくもちしょうがっこう,146-0082,東京都大田区池上7-18-1,03-3753-9591,大田区立徳持小学校 御中,宛名印刷
小学校,公立,大田区,大田区立入新井第二小学校,おおたくりついりあらいだいにしょうがっこう,143-0024,東京都大田区中央2-15-1,03-3773-3978,大田区立入新井第二小学校 御中,宛名印刷
小学校,公立,大田区,大田区立入新井第四小学校,おおたくりついりあらいだいししょうがっこう,143-0024,東京都大田区中央3-5-8,03-3773-3981,大田区立入新井第四小学校 御中,宛名印刷
小学校,公立,大田区,大田区立東調布第一小学校,おおたくりつひがしちょうふだいいちしょうがっこう,145-0076,東京都大田区田園調布南28-7,03-3750-2258,大田区立東調布第一小学校 御中,宛名印刷
小学校,公立,大田区,大田区立田園調布小学校,おおたくりつでんえんちょうふしょうがっこう,145-0071,東京都大田区田園調布2-31-16,03-3721-8907,大田区立田園調布小学校 御中,宛名印刷
小学校,公立,大田区,大田区立調布大塚小学校,おおたくりつちょうふおおつかしょうがっこう,145-0067,東京都大田区雪谷大塚町12-1,03-3727-6107,大田区立調布大塚小学校 御中,宛名印刷
小学校,公立,大田区,大田区立東調布第三小学校,おおたくりつひがしちょうふだいさんしょうがっこう,146-0084,東京都大田区南久が原2-17-1,03-3750-2260,大田区立東調布第三小学校 御中,宛名印刷
小学校,公立,大田区,大田区立嶺町小学校,おおたくりつみねまちしょうがっこう,145-0076,東京都大田区田園調布南6-10,03-3758-2277,大田区立嶺町小学校 御中,宛名印刷
小学校,公立,大田区,大田区立千鳥小学校,おおたくりつちどりしょうがっこう,146-0083,東京都大田区千鳥2-5-1,03-3750-0048,大田区立千鳥小学校 御中,宛名印刷
小学校,公立,大田区,大田区立久原小学校,おおたくりつくがはらしょうがっこう,146-0085,東京都大田区久が原4-12-10,03-3753-9411,大田区立久原小学校 御中,宛名印刷
小学校,公立,大田区,大田区立松仙小学校,おおたくりつしょうせんしょうがっこう,146-0085,東京都大田区久が原1-11-1,03-3753-9141,大田区立松仙小学校 御中,宛名印刷
小学校,公立,大田区,大田区立池雪小学校,おおたくりつちせつしょうがっこう,145-0065,東京都大田区東雪谷5-7-1,03-3726-0126,大田区立池雪小学校 御中,宛名印刷
小学校,公立,大田区,大田区立小池小学校,おおたくりつこいけしょうがっこう,145-0064,東京都大田区上池台2-22-7,03-3729-5101,大田区立小池小学校 御中,宛名印刷
小学校,公立,大田区,大田区立雪谷小学校,おおたくりつゆきがやしょうがっこう,145-0066,東京都大田区南雪谷3-9-23,03-3729-5121,大田区立雪谷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立洗足池小学校,おおたくりつせんぞくいけしょうがっこう,145-0063,東京都大田区南千束3-35-2,03-3726-4301,大田区立洗足池小学校 御中,宛名印刷
小学校,公立,大田区,大田区立赤松小学校,おおたくりつあかまつしょうがっこう,145-0062,東京都大田区北千束2-35-8,03-3729-0986,大田区立赤松小学校 御中,宛名印刷
小学校,公立,大田区,大田区立清水窪小学校,おおたくりつしみずくぼしょうがっこう,145-0062,東京都大田区北千束1-20-15,03-3718-3536,大田区立清水窪小学校 御中,宛名印刷
小学校,公立,大田区,大田区立糀谷小学校,おおたくりつこうじやしょうがっこう,144-0034,東京都大田区西糀谷3-13-21,03-3741-6582,大田区立糀谷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立東糀谷小学校,おおたくりつひがしこうじやしょうがっこう,144-0033,東京都大田区東糀谷5-18-23,03-3742-6466,大田区立東糀谷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立北糀谷小学校,おおたくりつきたこうじやしょうがっこう,144-0032,東京都大田区北糀谷2-2-5,03-3742-5371,大田区立北糀谷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立羽田小学校,おおたくりつはねだしょうがっこう,144-0043,東京都大田区羽田3-3-14,03-3741-5682,大田区立羽田小学校 御中,宛名印刷
小学校,公立,大田区,大田区立都南小学校,おおたくりつとなんしょうがっこう,144-0044,東京都大田区本羽田3-15-2,03-3744-2960,大田区立都南小学校 御中,宛名印刷
小学校,公立,大田区,大田区立萩中小学校,おおたくりつはぎなかしょうがっこう,144-0044,東京都大田区本羽田3-4-22,03-3742-5381,大田区立萩中小学校 御中,宛名印刷
小学校,公立,大田区,大田区立中萩中小学校,おおたくりつなかはぎなかしょうがっこう,144-0047,東京都大田区萩中2-14-1,03-3744-2800,大田区立中萩中小学校 御中,宛名印刷
小学校,公立,大田区,大田区立出雲小学校,おおたくりついずもしょうがっこう,144-0044,東京都大田区本羽田1-2-4,03-3742-3542,大田区立出雲小学校 御中,宛名印刷
小学校,公立,大田区,大田区立六郷小学校,おおたくりつろくごうしょうがっこう,144-0046,東京都大田区東六郷3-7-1,03-3732-9628,大田区立六郷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立西六郷小学校,おおたくりつにしろくごうしょうがっこう,144-0056,東京都大田区西六郷2-3-1,03-3732-9611,大田区立西六郷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立高畑小学校,おおたくりつたかはたしょうがっこう,144-0056,東京都大田区西六郷3-28-23,03-3732-8335,大田区立高畑小学校 御中,宛名印刷
小学校,公立,大田区,大田区立仲六郷小学校,おおたくりつなかろくごうしょうがっこう,144-0055,東京都大田区仲六郷1-26-1,03-3732-8338,大田区立仲六郷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立志茂田小学校,おおたくりつしもだしょうがっこう,144-0056,東京都大田区西六郷1-4-2,03-3732-8325,大田区立志茂田小学校 御中,宛名印刷
小学校,公立,大田区,大田区立東六郷小学校,おおたくりつひがしろくごうしょうがっこう,144-0046,東京都大田区東六郷2-3-1,03-3732-9311,大田区立東六郷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立矢口小学校,おおたくりつやぐちしょうがっこう,146-0095,東京都大田区多摩川1-18-22,03-3759-9618,大田区立矢口小学校 御中,宛名印刷
小学校,公立,大田区,大田区立矢口西小学校,おおたくりつやぐちにししょうがっこう,146-0092,東京都大田区下丸子1-7-1,03-3759-9621,大田区立矢口西小学校 御中,宛名印刷
小学校,公立,大田区,大田区立多摩川小学校,おおたくりつたまがわしょうがっこう,146-0093,東京都大田区矢口3-26-25,03-3759-8331,大田区立多摩川小学校 御中,宛名印刷
小学校,公立,大田区,大田区立相生小学校,おおたくりつあいおいしょうがっこう,144-0051,東京都大田区西蒲田6-19-1,03-3732-8311,大田区立相生小学校 御中,宛名印刷
小学校,公立,大田区,大田区立矢口東小学校,おおたくりつやぐちひがししょうがっこう,146-0094,東京都大田区東矢口3-9-20,03-3732-9625,大田区立矢口東小学校 御中,宛名印刷
小学校,公立,大田区,大田区立おなづか小学校,おおたくりつおなづかしょうがっこう,144-0051,東京都大田区西蒲田1-19-1,03-3753-2615,大田区立おなづか小学校 御中,宛名印刷
小学校,公立,大田区,大田区立道塚小学校,おおたくりつみちづかしょうがっこう,144-0054,東京都大田区新蒲田3-3-18,03-3732-9615,大田区立道塚小学校 御中,宛名印刷
小学校,公立,大田区,大田区立蒲田小学校,おおたくりつかまたしょうがっこう,144-0052,東京都大田区蒲田1-30-1,03-3732-8317,大田区立蒲田小学校 御中,宛名印刷
小学校,公立,大田区,大田区立南蒲小学校,おおたくりつなんぽしょうがっこう,144-0035,東京都大田区南蒲田1-12-11,03-3732-9631,大田区立南蒲小学校 御中,宛名印刷
小学校,公立,大田区,大田区立新宿小学校,おおたくりつしんしゅくしょうがっこう,144-0053,東京都大田区蒲田本町1-5-1,03-3732-8328,大田区立新宿小学校 御中,宛名印刷
小学校,公立,大田区,大田区立東蒲小学校,おおたくりつとうほしょうがっこう,144-0031,東京都大田区東蒲田1-19-25,03-3732-9635,大田区立東蒲小学校 御中,宛名印刷
小学校,公立,大田区,大田区立大森東小学校,おおたくりつおおもりひがししょうがっこう,143-0012,東京都大田区大森東1-29-1,03-3763-5481,大田区立大森東小学校 御中,宛名印刷
小学校,公立,大田区,大田区立南六郷小学校,おおたくりつみなみろくごうしょうがっこう,144-0045,東京都大田区南六郷3-7-1,03-3735-3910,大田区立南六郷小学校 御中,宛名印刷
小学校,公立,大田区,大田区立開桜小学校,おおたくりつかいおうしょうがっこう,143-0015,東京都大田区大森西2-26-3,03-3762-6538,大田区立開桜小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立若林小学校,せたがやくりつわかばやししょうがっこう,154-0023,東京都世田谷区若林5-27-18,03-3413-0654,世田谷区立若林小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立三宿小学校,せたがやくりつみしゅくしょうがっこう,154-0005,東京都世田谷区三宿1-12-6,03-3411-8456,世田谷区立三宿小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立太子堂小学校,せたがやくりつたいしどうしょうがっこう,154-0004,東京都世田谷区太子堂5-7-4,03-3413-4621,世田谷区立太子堂小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立桜小学校,せたがやくりつさくらしょうがっこう,154-0017,東京都世田谷区世田谷2-4-15,03-3420-5381,世田谷区立桜小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立桜丘小学校,せたがやくりつさくらがおかしょうがっこう,156-0054,東京都世田谷区桜丘1-19-17,03-3429-1375,世田谷区立桜丘小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立代沢小学校,せたがやくりつだいざわしょうがっこう,155-0032,東京都世田谷区代沢5-1-10,03-3413-4551,世田谷区立代沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立多聞小学校,せたがやくりつたもんしょうがっこう,154-0005,東京都世田谷区三宿2-26-11,03-3413-2026,世田谷区立多聞小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立世田谷小学校,せたがやくりつせたがやしょうがっこう,156-0051,東京都世田谷区宮坂1-38-4,03-3420-7241,世田谷区立世田谷小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立松沢小学校,せたがやくりつまつざわしょうがっこう,156-0044,東京都世田谷区赤堤4-44-22,03-3323-0441,世田谷区立松沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立駒沢小学校,せたがやくりつこまざわしょうがっこう,154-0012,東京都世田谷区駒沢2-10-6,03-3424-0855,世田谷区立駒沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立旭小学校,せたがやくりつあさひしょうがっこう,154-0003,東京都世田谷区野沢1-4-3,03-3424-1337,世田谷区立旭小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立中里小学校,せたがやくりつなかざとしょうがっこう,154-0024,東京都世田谷区三軒茶屋1-4-1,03-3422-7474,世田谷区立中里小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立松原小学校,せたがやくりつまつばらしょうがっこう,156-0043,東京都世田谷区松原5-43-26,03-3322-0191,世田谷区立松原小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立上北沢小学校,せたがやくりつかみきたざわしょうがっこう,156-0057,東京都世田谷区上北沢4-22-29,03-3302-0485,世田谷区立上北沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立駒繋小学校,せたがやくりつこまつなぎしょうがっこう,154-0002,東京都世田谷区下馬1-42-12,03-3424-0820,世田谷区立駒繋小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立池之上小学校,せたがやくりついけのうえしょうがっこう,155-0032,東京都世田谷区代沢2-42-15,03-3411-8314,世田谷区立池之上小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立経堂小学校,せたがやくりつきょうどうしょうがっこう,156-0045,東京都世田谷区桜上水1-23-3,03-3420-3278,世田谷区立経堂小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立弦巻小学校,せたがやくりつつるまきしょうがっこう,154-0016,東京都世田谷区弦巻1-9-18,03-3428-0187,世田谷区立弦巻小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立山崎小学校,せたがやくりつやまざきしょうがっこう,154-0022,東京都世田谷区梅丘3-9-1,03-3420-7341,世田谷区立山崎小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立中丸小学校,せたがやくりつなかまるしょうがっこう,154-0003,東京都世田谷区野沢3-34-16,03-3424-4422,世田谷区立中丸小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立代田小学校,せたがやくりつだいたしょうがっこう,155-0033,東京都世田谷区代田4-2-3,03-3323-3761,世田谷区立代田小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立三軒茶屋小学校,せたがやくりつさんげんぢゃやしょうがっこう,154-0024,東京都世田谷区三軒茶屋2-42-1,03-3421-2195,世田谷区立三軒茶屋小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立赤堤小学校,せたがやくりつあかづつみしょうがっこう,156-0044,東京都世田谷区赤堤1-41-24,03-3323-0291,世田谷区立赤堤小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立松丘小学校,せたがやくりつまつがおかしょうがっこう,154-0016,東京都世田谷区弦巻3-23-12,03-3429-4278,世田谷区立松丘小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立池尻小学校,せたがやくりついけじりしょうがっこう,154-0001,東京都世田谷区池尻2-4-10,03-3424-2410,世田谷区立池尻小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立笹原小学校,せたがやくりつささはらしょうがっこう,156-0054,東京都世田谷区桜丘5-19-1,03-3428-8383,世田谷区立笹原小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立城山小学校,せたがやくりつしろやましょうがっこう,154-0022,東京都世田谷区梅丘2-1-11,03-3429-2047,世田谷区立城山小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立深沢小学校,せたがやくりつふかさわしょうがっこう,154-0014,東京都世田谷区新町1-4-24,03-3428-1366,世田谷区立深沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立玉川小学校,せたがやくりつたまがわしょうがっこう,158-0091,東京都世田谷区中町2-29-1,03-3703-1601,世田谷区立玉川小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立京西小学校,せたがやくりつきょうさいしょうがっこう,158-0097,東京都世田谷区用賀4-27-4,03-3700-1128,世田谷区立京西小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立二子玉川小学校,せたがやくりつふたこたまがわしょうがっこう,158-0094,東京都世田谷区玉川4-6-1,03-3700-5531,世田谷区立二子玉川小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立八幡小学校,せたがやくりつやはたしょうがっこう,158-0085,東京都世田谷区玉川田園調布2-17-15,03-3721-8991,世田谷区立八幡小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立奥沢小学校,せたがやくりつおくさわしょうがっこう,158-0083,東京都世田谷区奥沢3-1-1,03-3727-3535,世田谷区立奥沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立尾山台小学校,せたがやくりつおやまだいしょうがっこう,158-0086,東京都世田谷区尾山台3-11-1,03-3701-2183,世田谷区立尾山台小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立東深沢小学校,せたがやくりつひがしふかさわしょうがっこう,158-0081,東京都世田谷区深沢3-7-1,03-3703-1606,世田谷区立東深沢小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立東玉川小学校,せたがやくりつひがしたまがわしょうがっこう,158-0083,東京都世田谷区奥沢1-1-1,03-3720-4211,世田谷区立東玉川小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立桜町小学校,せたがやくりつさくらまちしょうがっこう,158-0097,東京都世田谷区用賀1-5-1,03-3703-0161,世田谷区立桜町小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立九品仏小学校,せたがやくりつくほんぶつしょうがっこう,158-0083,東京都世田谷区奥沢8-12-1,03-3703-0458,世田谷区立九品仏小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立瀬田小学校,せたがやくりつせたしょうがっこう,158-0095,東京都世田谷区瀬田2-15-1,03-3700-3345,世田谷区立瀬田小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立等々力小学校,せたがやくりつとどろきしょうがっこう,158-0082,東京都世田谷区等々力7-26-1,03-3702-2185,世田谷区立等々力小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立用賀小学校,せたがやくりつようがしょうがっこう,158-0098,東京都世田谷区上用賀6-14-1,03-3428-8391,世田谷区立用賀小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立中町小学校,せたがやくりつなかまちしょうがっこう,158-0091,東京都世田谷区中町4-23-1,03-3703-0651,世田谷区立中町小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立玉堤小学校,せたがやくりつたまづつみしょうがっこう,158-0087,東京都世田谷区玉堤2-11-1,03-3701-1536,世田谷区立玉堤小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立烏山小学校,せたがやくりつからすやましょうがっこう,157-0064,東京都世田谷区給田1-2-1,03-3300-6158,世田谷区立烏山小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立塚戸小学校,せたがやくりつつかどしょうがっこう,157-0071,東京都世田谷区千歳台6-7-1,03-3300-5166,世田谷区立塚戸小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立祖師谷小学校,せたがやくりつそしがやしょうがっこう,157-0072,東京都世田谷区祖師谷3-49-1,03-3482-2467,世田谷区立祖師谷小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立砧小学校,せたがやくりつきぬたしょうがっこう,157-0067,東京都世田谷区喜多見6-9-1,03-3417-4477,世田谷区立砧小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立明正小学校,せたがやくりつめいせいしょうがっこう,157-0066,東京都世田谷区成城3-3-1,03-3415-5591,世田谷区立明正小学校 御中,宛名印刷
小学校,公立,世田谷区,世田谷区立烏山北小学校,せたがやくりつからすやまきたしょうがっこう,157-0061,東京都世田谷区北烏山6-3-1,03-3300-5764,世田谷区立烏山北小学校 御中,宛名印刷
